date,southern_cp,northern_cp,southern_7day,northern_7day,southern_lower,southern_upper,northern_lower,northern_upper
2020-07-28,,,22,34,0,0,0,0
2020-07-29,30,24,22,33,9,14,8,11
2020-07-30,,,24,35,0,0,0,0
2020-07-31,29,81,24,38,9,13,25,37
2020-08-01,,,24,37,0,0,0,0
2020-08-02,,,29,39,0,0,0,0
2020-08-03,109,109,46,59,35,51,34,50
2020-08-04,74,47,51,56,23,34,15,22
2020-08-05,101,43,70,65,32,47,14,20
2020-08-06,27,48,57,61,8,12,15,22
2020-08-07,18,41,52,53,6,8,13,19
2020-08-08,,,52,53,0,0,0,0
2020-08-09,,,52,53,0,0,0,0
2020-08-10,42,62,43,48,13,20,20,29
2020-08-11,,,38,48,0,0,0,0
2020-08-12,27,57,27,52,8,12,18,27
2020-08-13,,,27,53,0,0,0,0
2020-08-14,18,45,27,55,6,8,14,21
2020-08-15,,,27,55,0,0,0,0
2020-08-16,,,27,55,0,0,0,0
2020-08-17,24,44,23,48,8,11,14,20
2020-08-18,,,23,48,0,0,0,0
2020-08-19,50,87,28,56,16,23,27,40
2020-08-20,,,28,56,0,0,0,0
2020-08-21,35,60,35,61,11,16,19,28
2020-08-22,,,35,61,0,0,0,0
2020-08-23,,,35,61,0,0,0,0
2020-08-24,21,38,33,58,7,10,12,17
2020-08-25,,,33,58,0,0,0,0
2020-08-26,31,48,28,48,10,15,15,22
2020-08-27,,,28,48,0,0,0,0
2020-08-28,38,60,29,48,12,17,19,27
2020-08-29,,,29,48,0,0,0,0
2020-08-30,,,29,48,0,0,0,0
2020-08-31,47,61,38,56,15,22,19,28
2020-09-01,,,38,56,0,0,0,0
2020-09-02,54,144,46,81,17,25,46,67
2020-09-03,,,46,81,0,0,0,0
2020-09-04,52,138,51,107,17,24,44,64
2020-09-05,,,51,107,0,0,0,0
2020-09-06,,,51,107,0,0,0,0
2020-09-07,65,59,57,105,20,30,19,27
2020-09-08,,,57,105,0,0,0,0
2020-09-09,71,46,62,72,22,33,15,21
2020-09-10,38,59,55,69,12,17,19,27
2020-09-11,52,46,55,52,17,24,15,21
2020-09-12,19,51,44,52,6,9,16,24
2020-09-13,25,44,40,51,8,11,14,20
2020-09-14,27,49,35,49,8,12,15,22
2020-09-15,70,45,38,48,22,32,14,21
2020-09-16,68,48,38,49,21,31,15,22
2020-09-17,36,54,38,48,11,17,17,25
2020-09-18,45,75,37,51,14,21,24,34
2020-09-19,53,31,43,48,17,24,10,14
2020-09-20,85,32,51,46,27,39,10,15
2020-09-21,61,24,58,41,19,28,7,11
2020-09-22,41,44,53,41,13,19,14,20
2020-09-23,46,41,51,40,15,21,13,19
2020-09-24,46,31,52,37,15,21,10,14
2020-09-25,60,34,55,33,19,28,11,16
2020-09-26,,,55,34,0,0,0,0
2020-09-27,,,50,34,0,0,0,0
2020-09-28,46,43,47,38,15,21,14,20
2020-09-29,,,49,37,0,0,0,0
2020-09-30,58,21,52,31,18,27,7,10
2020-10-01,,,54,31,0,0,0,0
2020-10-02,68,34,57,31,22,32,11,16
2020-10-03,,,57,31,0,0,0,0
2020-10-04,,,57,31,0,0,0,0
2020-10-05,63,38,63,30,20,29,12,17
2020-10-06,,,63,30,0,0,0,0
2020-10-07,59,70,63,45,19,27,22,33
2020-10-08,,,63,45,0,0,0,0
2020-10-09,66,56,63,53,21,31,18,26
2020-10-10,,,63,53,0,0,0,0
2020-10-11,,,63,53,0,0,0,0
2020-10-12,63,52,63,59,20,29,16,24
2020-10-13,,,63,59,0,0,0,0
2020-10-14,103,71,76,59,32,47,22,33
2020-10-15,,,76,59,0,0,0,0
2020-10-16,105,101,88,72,33,49,32,46
2020-10-17,,,88,72,0,0,0,0
2020-10-18,121,263,95,99,38,56,83,121
2020-10-19,259,116,136,122,82,120,37,54
2020-10-20,175,130,143,123,55,81,41,60
2020-10-21,271,95,173,131,86,125,30,44
2020-10-22,214,131,179,131,68,99,42,61
2020-10-23,120,103,183,131,38,55,33,48
2020-10-24,118,132,172,132,37,54,42,61
2020-10-25,179,126,182,118,57,83,40,58
2020-10-26,120,120,163,119,38,55,38,55
2020-10-27,173,129,163,119,55,80,41,60
2020-10-28,156,190,150,131,49,72,60,88
2020-10-29,92,97,133,126,29,43,31,45
2020-10-30,134,201,135,138,42,62,64,93
2020-10-31,68,148,125,140,21,31,47,68
2020-11-01,145,139,122,142,46,67,44,64
2020-11-02,181,186,129,151,57,84,59,86
2020-11-03,256,317,136,172,81,118,100,146
2020-11-04,177,183,139,171,56,82,58,85
2020-11-05,269,354,162,206,85,124,112,163
2020-11-06,206,207,172,207,65,95,65,96
2020-11-07,240,221,206,219,76,111,70,102
2020-11-08,270,322,225,247,85,125,102,149
2020-11-09,273,226,239,254,86,126,71,105
2020-11-10,291,339,243,257,92,135,107,157
2020-11-11,244,396,255,287,77,113,125,183
2020-11-12,341,318,263,282,108,158,101,147
2020-11-13,255,301,272,298,81,118,95,139
2020-11-14,359,313,288,313,114,166,99,145
2020-11-15,382,286,302,307,121,177,90,132
2020-11-16,300,311,307,322,95,139,98,143
2020-11-17,428,412,324,331,135,198,130,190
2020-11-18,380,353,345,325,120,176,112,163
2020-11-19,211,384,322,334,67,97,121,177
2020-11-20,305,371,330,344,96,141,117,171
2020-11-21,270,385,317,355,85,125,122,178
2020-11-22,411,435,320,377,130,190,138,201
2020-11-23,553,267,350,369,175,256,84,123
2020-11-24,526,518,360,381,166,243,164,239
2020-11-25,497,459,374,395,157,230,145,212
2020-11-26,1052,495,471,410,333,486,156,229
2020-11-27,568,561,515,435,179,262,177,259
2020-11-28,748,546,595,457,236,346,173,252
2020-11-29,646,520,635,469,204,299,164,240
2020-11-30,771,675,666,536,244,356,213,312
2020-12-01,537,862,668,576,170,248,272,398
2020-12-02,431,857,655,630,136,199,271,396
2020-12-03,824,888,632,685,260,381,280,410
2020-12-04,1578,1384,732,779,499,729,438,640
2020-12-05,647,956,716,844,204,299,302,441
2020-12-06,1042,1035,767,931,329,481,327,478
2020-12-07,1135,1219,811,1013,359,524,385,563
2020-12-08,827,725,862,988,261,382,229,335
2020-12-09,784,629,939,945,248,362,199,291
2020-12-10,954,812,959,933,301,441,257,375
2020-12-11,882,1146,883,909,279,408,362,529
2020-12-12,764,1023,904,918,241,353,323,473
2020-12-13,1013,1356,900,954,320,468,428,626
2020-12-14,1272,1195,915,951,402,588,378,552
2020-12-15,790,202,909,792,249,365,64,93
2020-12-16,922,877,930,831,292,426,277,405
2020-12-17,1143,1111,955,869,361,528,351,513
2020-12-18,793,1048,940,858,250,366,331,484
2020-12-19,674,1176,924,875,213,311,372,543
2020-12-20,950,897,915,825,300,439,284,415
2020-12-21,923,775,874,775,292,426,245,358
2020-12-22,999,995,904,974,316,462,315,460
2020-12-23,1058,841,922,968,334,489,266,389
2020-12-24,844,985,883,952,267,390,311,455
2020-12-25,851,907,892,932,269,393,287,419
2020-12-26,531,551,862,836,168,245,174,255
2020-12-27,309,1208,734,873,97,143,382,558
2020-12-28,813,1448,721,954,257,375,458,669
2020-12-29,1014,774,722,921,321,469,245,358
2020-12-30,922,1451,708,995,291,426,458,670
2020-12-31,831,792,707,965,263,384,250,366
2021-01-01,733,473,692,879,232,339,149,219
2021-01-02,820,367,736,829,259,379,116,169
2021-01-03,1120,395,885,707,354,517,125,183
2021-01-04,1154,546,931,615,365,533,172,252
2021-01-05,972,942,925,632,307,449,298,435
2021-01-06,1323,1061,974,605,418,611,335,490
2021-01-07,1061,1051,1008,630,335,490,332,485
2021-01-08,1747,1329,1141,730,552,807,420,614
2021-01-09,1803,1411,1278,885,570,833,446,652
2021-01-10,1717,1180,1358,1034,543,793,373,545
2021-01-11,2069,1013,1476,1130,654,956,320,468
2021-01-12,902,920,1460,1126,285,417,291,425
2021-01-13,1122,983,1426,1114,354,518,311,454
2021-01-14,943,951,1403,1098,298,436,300,439
2021-01-15,750,1112,1243,1071,237,347,351,514
2021-01-16,971,672,1138,963,307,449,212,310
2021-01-17,959,581,1047,870,303,443,184,269
2021-01-18,1141,603,962,808,360,527,191,279
2021-01-19,1255,966,1008,814,396,580,305,446
2021-01-20,,,,,,,,
2021-01-21,,,,,,,,
2021-01-22,,,,,,,,
2021-01-23,,,,,,,,
2021-01-24,,,,,,,,
2021-01-25,,,,,,,,
2021-01-26,,,,,,,,
2021-01-27,,,,,,,,
2021-01-28,,,,,,,,
2021-01-29,,,,,,,,
2021-01-30,,,,,,,,
2021-01-31,,,,,,,,
2021-02-01,,,,,,,,
2021-02-02,,,,,,,,
2021-02-03,,,,,,,,
2021-02-04,,,,,,,,
2021-02-05,,,,,,,,
2021-02-06,,,,,,,,
2021-02-07,,,,,,,,
2021-02-08,,,,,,,,
2021-02-09,,,,,,,,
2021-02-10,,,,,,,,
2021-02-11,,,,,,,,
2021-02-12,,,,,,,,
2021-02-13,,,,,,,,
2021-02-14,,,,,,,,
2021-02-15,,,,,,,,
2021-02-16,,,,,,,,
2021-02-17,,,,,,,,
2021-02-18,,,,,,,,
2021-02-19,,,,,,,,
2021-02-20,,,,,,,,
2021-02-21,,,,,,,,
2021-02-22,,,,,,,,
2021-02-23,,,,,,,,
2021-02-24,,,,,,,,
2021-02-25,,,,,,,,
2021-02-26,,,,,,,,
2021-02-27,,,,,,,,
2021-02-28,,,,,,,,
2021-03-01,,,,,,,,
2021-03-02,,,,,,,,
2021-03-03,,,,,,,,
2021-03-04,,,,,,,,
2021-03-05,,,,,,,,
2021-03-06,,,,,,,,
2021-03-07,,,,,,,,
2021-03-08,,,,,,,,
2021-03-09,,,,,,,,
2021-03-10,,,,,,,,
2021-03-11,,,,,,,,
2021-03-12,,,,,,,,
2021-03-13,,,,,,,,
2021-03-14,,,,,,,,
2021-03-15,,,,,,,,
2021-03-16,,,,,,,,
2021-03-17,,,,,,,,
2021-03-18,,,,,,,,
2021-03-19,,,,,,,,
2021-03-20,,,,,,,,
2021-03-21,,,,,,,,
2021-03-22,,,,,,,,
2021-03-23,,,,,,,,
2021-03-24,,,,,,,,
2021-03-25,,,,,,,,
2021-03-26,,,,,,,,
2021-03-27,,,,,,,,
2021-03-28,,,,,,,,
2021-03-29,,,,,,,,
2021-03-30,,,,,,,,
2021-03-31,,,,,,,,
2021-04-01,,,,,,,,
2021-04-02,,,,,,,,
2021-04-03,,,,,,,,
