date,southern_cp,northern_cp,southern_7day,northern_7day,southern_lower,southern_upper,northern_lower,northern_upper
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,29,,,,,9,14
2020-03-10,38,15,,21,12,17,5,7
2020-03-11,31,65,34,31,10,15,21,30
2020-03-12,25,36,31,32,8,12,11,17
2020-03-13,,,31,32,0,0,0,0
2020-03-14,16,27,26,31,5,7,9,13
2020-03-15,39,53,28,34,12,18,17,25
2020-03-16,33,23,29,32,10,15,7,11
2020-03-17,106,78,35,43,33,49,24,36
2020-03-18,65,45,39,40,21,30,14,21
2020-03-19,19,49,37,42,6,9,16,23
2020-03-20,,,37,42,0,0,0,0
2020-03-21,,,44,46,0,0,0,0
2020-03-22,,,45,45,0,0,0,0
2020-03-23,146,380,66,90,46,68,120,176
2020-03-24,,321,56,129,0,0,102,148
2020-03-25,30,228,43,192,9,14,72,105
2020-03-26,370,39,117,182,117,171,12,18
2020-03-27,34,299,86,201,11,16,95,138
2020-03-28,,,86,201,0,0,0,0
2020-03-29,,,86,201,0,0,0,0
2020-03-30,46,219,64,180,15,21,69,101
2020-03-31,,,64,155,0,0,0,0
2020-04-01,143,475,95,187,45,66,150,220
2020-04-02,,,61,315,0,0,0,0
2020-04-03,233,438,116,357,74,108,138,202
2020-04-04,,,116,357,0,0,0,0
2020-04-05,,,116,357,0,0,0,0
2020-04-06,,,182,456,0,0,0,0
2020-04-07,310,562,218,489,98,143,178,260
2020-04-08,,,269,496,0,0,0,0
2020-04-09,501,784,331,578,158,231,248,362
2020-04-10,,,394,664,0,0,0,0
2020-04-11,,,394,664,0,0,0,0
2020-04-12,,,394,664,0,0,0,0
2020-04-13,,,394,664,0,0,0,0
2020-04-14,389,702,441,742,123,180,222,324
2020-04-15,,,441,742,0,0,0,0
2020-04-16,138,321,232,474,44,64,101,148
2020-04-17,164,360,206,433,52,76,114,166
2020-04-18,,,206,433,0,0,0,0
2020-04-19,,,206,433,0,0,0,0
2020-04-20,,,206,433,0,0,0,0
2020-04-21,,,150,340,0,0,0,0
2020-04-22,220,541,171,397,70,102,171,250
2020-04-23,179,283,186,381,57,83,90,131
2020-04-24,,,199,391,0,0,0,0
2020-04-25,,,199,391,0,0,0,0
2020-04-26,,,199,391,0,0,0,0
2020-04-27,130,,173,391,41,60,0,0
2020-04-28,97,293,149,355,31,45,93,135
2020-04-29,,,131,288,0,0,0,0
2020-04-30,,,112,293,0,0,0,0
2020-05-01,,,112,293,0,0,0,0
2020-05-02,,,112,293,0,0,0,0
2020-05-03,209,93,138,165,66,96,29,43
2020-05-04,,,142,165,0,0,0,0
2020-05-05,97,94,142,94,31,45,30,44
2020-05-06,5,22,47,58,2,2,7,10
2020-05-07,,,47,58,0,0,0,0
2020-05-08,,,47,58,0,0,0,0
2020-05-09,,,47,58,0,0,0,0
2020-05-10,,,22,46,0,0,0,0
2020-05-11,164,,43,46,52,76,0,0
2020-05-12,,,29,22,0,0,0,0
2020-05-13,,,,,0,0,0,0
2020-05-14,,,,,0,0,0,0
2020-05-15,,,,,0,0,0,0
2020-05-16,,,,,0,0,0,0
2020-05-17,,,,,0,0,0,0
2020-05-18,,,,,0,0,0,0
2020-05-19,,,,,0,0,0,0
2020-05-20,,,,,0,0,0,0
2020-05-21,82,42,,,26,38,13,20
2020-05-22,426,244,,,135,197,77,113
2020-05-23,77,69,,,24,36,22,32
2020-05-24,79,52,121,78,25,36,16,24
2020-05-25,66,42,107,69,21,31,13,19
2020-05-26,97,38,105,62,31,45,12,17
2020-05-27,197,81,115,65,62,91,26,37
2020-05-28,50,35,107,63,16,23,11,16
2020-05-29,28,49,73,50,9,13,15,22
2020-05-30,66,,71,47,21,31,0,0
2020-05-31,79,37,71,45,25,37,12,17
2020-06-01,82,60,73,48,26,38,19,28
2020-06-02,194,95,81,55,61,90,30,44
2020-06-03,35,40,63,49,11,16,13,18
2020-06-04,47,32,63,49,15,22,10,15
2020-06-05,44,45,67,48,14,20,14,21
2020-06-06,19,46,56,48,6,9,15,21
2020-06-07,24,27,47,45,8,11,8,12
2020-06-08,26,19,40,39,8,12,6,9
2020-06-09,52,167,33,42,16,24,53,77
2020-06-10,75,68,37,45,24,35,21,31
2020-06-11,40,134,36,56,13,19,42,62
2020-06-12,45,78,36,60,14,21,25,36
2020-06-13,77,180,44,73,24,36,57,83
2020-06-14,36,,47,86,11,17,0,0
2020-06-15,38,141,50,120,12,17,45,65
2020-06-16,60,118,51,113,19,28,37,55
2020-06-17,19,13,42,86,6,9,4,6
2020-06-18,16,21,37,63,5,7,7,10
2020-06-19,11,37,30,56,3,5,12,17
2020-06-20,12,25,23,40,4,5,8,11
2020-06-21,22,26,21,38,7,10,8,12
2020-06-22,24,,20,30,8,11,0,0
2020-06-23,16,22,17,23,5,8,7,10
2020-06-24,5,10,14,22,2,2,3,4
2020-06-25,9,16,12,21,3,4,5,7
2020-06-26,9,11,12,17,3,4,4,5
2020-06-27,20,15,13,16,6,9,5,7
2020-06-28,8,19,11,15,2,4,6,9
2020-06-29,20,15,11,15,6,9,5,7
2020-06-30,12,22,11,15,4,5,7,10
2020-07-01,15,27,12,17,5,7,8,12
2020-07-02,52,29,16,19,16,24,9,14
2020-07-03,20,43,18,23,6,9,14,20
2020-07-04,35,15,19,23,11,16,5,7
2020-07-05,11,13,20,21,4,5,4,6
2020-07-06,17,34,20,24,5,8,11,16
2020-07-07,24,37,22,26,8,11,12,17
2020-07-08,14,30,22,26,4,6,9,14
2020-07-09,27,21,20,25,9,13,7,10
2020-07-10,9,36,18,24,3,4,11,16
2020-07-11,24,21,17,26,8,11,7,10
2020-07-12,27,46,19,31,9,13,15,21
2020-07-13,25,32,20,31,8,12,10,15
2020-07-14,17,32,19,30,6,8,10,15
2020-07-15,35,30,22,30,11,16,9,14
2020-07-16,23,25,21,31,7,11,8,11
2020-07-17,22,43,24,32,7,10,14,20
2020-07-18,42,26,26,32,13,20,8,12
2020-07-19,23,14,26,27,7,11,5,7
2020-07-20,31,20,27,26,10,15,6,9
2020-07-21,12,17,25,24,4,6,5,8
2020-07-22,35,28,25,23,11,16,9,13
2020-07-23,15,23,24,23,5,7,7,11
2020-07-24,26,57,24,24,8,12,18,26
2020-07-25,24,41,22,26,8,11,13,19
2020-07-26,14,33,21,29,5,7,10,15
2020-07-27,28,31,20,31,9,13,10,14
