step,S,E,I,R,inc,beta,Rt
56,90575,3595,2224,3606,1133,0.625,2.2643750000000002
57,89336,4042,2540,4082,1239,0.625,2.2334
58,87948,4546,2858,4648,1388,0.625,2.1987
59,86346,5151,3280,5223,1602,0.625,2.15865
60,84652,5719,3688,5941,1694,0.625,2.1163000000000003
61,82715,6393,4117,6775,1937,0.625,2.067875
62,80530,7203,4599,7668,2185,0.625,2.01325
63,78287,7849,5187,8677,2243,0.625,1.9571749999999999
64,75787,8637,5736,9840,2500,0.625,1.894675
65,73119,9338,6359,11184,2668,0.625,1.827975
66,70274,10099,7059,12568,2845,0.625,1.75685
67,67259,10849,7767,14125,3015,0.625,1.681475
68,64087,11600,8444,15869,3172,0.625,1.6021750000000001
69,60815,12304,9146,17735,3272,0.625,1.520375
70,57454,12992,9841,19713,3361,0.625,1.43635
71,54059,13555,10499,21887,3395,0.625,1.351475
72,50637,14015,11116,24232,3422,0.625,1.265925
73,47248,14251,11814,26687,3389,0.625,1.1812
74,43809,14590,12314,29287,3439,0.625,1.095225
75,40537,14598,12815,32050,3272,0.625,1.013425
76,37398,14427,13214,34961,3139,0.625,0.93495
77,34503,14198,13395,37904,2895,0.625,0.862575
78,31714,13935,13534,40817,2789,0.625,0.7928499999999999
79,29124,13378,13691,43807,2590,0.625,0.7281
80,26749,12767,13605,46879,2375,0.625,0.668725
81,24559,12133,13425,49883,2190,0.625,0.613975
82,22557,11392,13296,52755,2002,0.625,0.563925
83,20782,10682,12790,55746,1775,0.625,0.51955
84,19210,9878,12339,58573,1572,0.625,0.48024999999999995
85,17768,9137,11783,61312,1442,0.625,0.44420000000000004
86,16512,8421,11116,63951,1256,0.625,0.41279999999999994
87,15368,7701,10567,66364,1144,0.625,0.38420000000000004
88,14410,6959,9910,68721,958,0.625,0.36025
89,13486,6389,9224,70901,924,0.625,0.33715
90,12709,5758,8593,72940,777,0.625,0.31772500000000004
91,12028,5222,7874,74876,681,0.625,0.30069999999999997
92,11444,4688,7270,76598,584,0.625,0.2861
93,10902,4195,6706,78197,542,0.625,0.27255
94,10424,3728,6170,79678,478,0.625,0.2606
95,10033,3290,5605,81072,391,0.625,0.250825
96,9697,2905,5070,82328,336,0.625,0.242425
97,9383,2569,4600,83448,314,0.625,0.23457499999999998
98,9117,2283,4099,84501,266,0.625,0.227925
99,8900,2034,3631,85435,217,0.625,0.22249999999999998
100,8682,1809,3276,86233,218,0.625,0.21705
101,8507,1587,2948,86958,175,0.625,0.212675
102,8368,1362,2647,87623,139,0.625,0.2092
103,8230,1205,2349,88216,138,0.625,0.20575
104,8102,1090,2075,88733,128,0.625,0.20254999999999998
105,8006,957,1839,89198,96,0.625,0.20015000000000002
106,7928,814,1668,89590,78,0.625,0.19820000000000002
107,7845,724,1473,89958,83,0.625,0.19612500000000002
108,7778,633,1302,90287,67,0.625,0.19445
109,7712,563,1164,90561,66,0.625,0.19279999999999997
110,7655,503,1019,90823,57,0.625,0.19137500000000002
111,7605,448,911,91036,50,0.625,0.19012500000000002
112,7557,380,843,91220,48,0.625,0.188925
113,7519,334,735,91412,38,0.625,0.187975
114,7489,292,648,91571,30,0.625,0.187225
115,7459,261,573,91707,30,0.625,0.186475
116,7432,230,516,91822,27,0.625,0.1858
117,7403,198,460,91939,29,0.625,0.185075
118,7390,168,403,92039,13,0.625,0.18474999999999997
119,7371,141,363,92125,19,0.625,0.184275
120,7358,125,304,92213,13,0.625,0.18395
121,7350,104,269,92277,8,0.625,0.18375
122,7337,90,239,92334,13,0.625,0.183425
123,7331,75,212,92382,6,0.625,0.183275
124,7328,56,187,92429,3,0.625,0.1832
125,7321,46,161,92472,7,0.625,0.183025
126,7314,41,140,92505,7,0.625,0.18284999999999998
127,7304,42,120,92534,10,0.625,0.18259999999999998
